#{"t_start": 1781619898.2481868, "env_id": "None"}
r,l,t,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc
-597.600502,198,920.938201,0.1534814802161174,0.14993609398956373,1.347246766090393,1.347246766090393,0,100.0,0.006390601043626543,1,-500.0,-600.0,1,100.0,3,0,3,0.14993609398956373
-598.154131,212,921.254809,0.15143383322264045,0.14907598013626927,0.8959841728210449,0.8959841728210449,0,100.0,0.0924019863730724,1,-500.0,-600.0,1,100.0,1,0,1,0.14907598013626927
-597.527731,197,921.532923,0.15077269329983536,0.14867584220819952,0.7968034148216248,0.7968034148216248,0,100.0,0.13241577918004788,1,-500.0,-600.0,1,100.0,0,0,0,0.14867584220819952
-597.712108,208,921.897636,0.15029221747541133,0.148409162127266,0.715561032295227,0.715561032295227,0,100.0,0.15908378727340078,1,-500.0,-600.0,1,100.0,0,0,0,0.148409162127266
-597.346576,195,922.302901,0.15128887749600586,0.14891011321799555,0.9039304256439209,0.9039304256439209,0,100.0,0.10898867820044456,1,-500.0,-600.0,1,100.0,3,0,3,0.14891011321799555
-597.767137,203,924.639866,0.1517059207456678,0.14932007998463367,0.9066194891929626,0.9066194891929626,0,100.0,0.06799200153663199,1,-500.0,-600.0,1,100.0,0,0,0,0.14932007998463367
-598.3555,214,925.044276,0.15291764192812546,0.14935290207341323,1.3546011447906494,1.3546011447906494,0,100.0,0.06470979265867649,1,-500.0,-600.0,1,100.0,0,0,0,0.14935290207341323
-597.852404,205,925.456936,0.15034646342871225,0.14945879309996968,0.3373147249221802,0.3373147249221802,0,100.0,0.05412069000303166,1,-500.0,-600.0,1,100.0,0,0,0,0.14945879309996968
-597.874106,201,925.908211,0.15019861655368658,0.14805840386724828,0.8132808208465576,0.8132808208465576,0,100.0,0.19415961327517162,1,-500.0,-600.0,1,100.0,2,0,2,0.14805840386724828
-598.298347,213,926.388073,0.15061513113622602,0.14915847439789456,0.5535295605659485,0.5535295605659485,0,100.0,0.08415256021054307,1,-500.0,-600.0,1,100.0,1,0,1,0.14915847439789456
-598.083393,212,926.737583,0.15052963850245268,0.14750453651451356,1.1495387554168701,1.1495387554168701,0,100.0,0.24954634854864322,1,-500.0,-600.0,1,100.0,0,0,0,0.14750453651451356
-597.965378,204,927.015,0.1524868378347085,0.14748359979669565,1.9012304544448853,1.9012304544448853,0,100.0,0.25164002033043475,1,-500.0,-600.0,1,100.0,0,0,0,0.14748359979669565
-597.82468,203,927.298213,0.15015738158457398,0.14606698930871354,1.5543490648269653,1.5543490648269653,0,100.0,0.39330106912864593,1,-500.0,-600.0,1,100.0,0,0,0,0.14606698930871354
-597.605158,198,927.583323,0.15358226746173673,0.14883873909564785,1.8025407791137695,1.8025407791137695,0,100.0,0.1161260904352146,1,-500.0,-600.0,1,100.0,0,0,0,0.14883873909564785
-597.879054,204,927.885987,0.15291991148781217,0.14950200610696082,1.2988040447235107,1.2988040447235107,0,100.0,0.04979938930391725,1,-500.0,-600.0,1,100.0,0,0,0,0.14950200610696082
-597.862149,207,929.56172,0.15085089139650157,0.1499672047755634,0.3358009159564972,0.3358009159564972,0,100.0,0.003279522443658256,1,-500.0,-600.0,1,100.0,0,0,0,0.1499672047755634
-597.75704,205,929.868662,0.1528687043547459,0.14797726172959974,1.858748197555542,1.858748197555542,0,100.0,0.2022738270400254,1,-500.0,-600.0,1,100.0,1,0,1,0.14797726172959974
-598.376841,215,930.18994,0.15050696328478408,0.14829045367280103,0.8422736525535583,0.8422736525535583,0,100.0,0.17095463271989686,1,-500.0,-600.0,1,100.0,1,0,1,0.14829045367280103
-597.307517,196,930.488131,0.15237580408146126,0.14863421410861388,1.4218041896820068,1.4218041896820068,0,100.0,0.1365785891386112,1,-500.0,-600.0,1,100.0,0,0,0,0.14863421410861388
-597.951353,205,930.808746,0.1516853257562767,0.14642216786153986,2.189969539642334,2.0,1,100.0,0.3577832138460135,1,-500.0,-600.0,1,100.0,1,0,1,0.14642216786153986
-597.802842,206,931.112164,0.1510421495437621,0.1490930371911901,0.740662693977356,0.740662693977356,0,100.0,0.09069628088098913,1,-500.0,-600.0,1,100.0,1,0,1,0.1490930371911901
-598.291654,214,931.44208,0.15081287622098888,0.1462975150625175,1.7158372402191162,1.7158372402191162,0,100.0,0.37024849374824864,1,-500.0,-600.0,1,100.0,0,0,0,0.1462975150625175
-598.102507,207,931.746981,0.15011539474467872,0.14685829014708512,1.2376997470855713,1.2376997470855713,0,100.0,0.314170985291487,1,-500.0,-600.0,1,100.0,1,0,1,0.14685829014708512
-597.568363,197,932.039744,0.15096101065881934,0.1471280756267277,1.4565153121948242,1.4565153121948242,0,100.0,0.28719243732723,1,-500.0,-600.0,1,100.0,1,0,1,0.1471280756267277
-598.307661,212,932.34105,0.15143493915192371,0.14931404574254606,0.8059394955635071,0.8059394955635071,0,100.0,0.06859542574539357,1,-500.0,-600.0,1,100.0,0,0,0,0.14931404574254606
-598.762209,216,934.02563,0.1530349429502688,0.14905351110214432,1.5129441022872925,1.5129441022872925,0,100.0,0.0946488897855674,1,-500.0,-600.0,1,100.0,0,0,0,0.14905351110214432
-597.929941,207,934.320544,0.15092349366814287,0.14928688925239988,0.6219096779823303,0.6219096779823303,0,100.0,0.07131107476001097,1,-500.0,-600.0,1,100.0,0,0,0,0.14928688925239988
-597.622543,196,934.627313,0.15278628849689094,0.14846619058616048,1.6416372060775757,1.6416372060775757,0,100.0,0.15338094138395153,1,-500.0,-600.0,1,100.0,0,0,0,0.14846619058616048
-597.859237,204,934.941482,0.15072177702114975,0.14733768755124008,1.2859539985656738,1.2859539985656738,0,100.0,0.2662312448759918,1,-500.0,-600.0,1,100.0,0,0,0,0.14733768755124008
-598.547036,216,935.252093,0.1502873436502722,0.14839642080272517,0.7185506820678711,0.7185506820678711,0,100.0,0.16035791972748292,1,-500.0,-600.0,1,100.0,0,0,0,0.14839642080272517
-598.168219,210,935.586585,0.1502813503419688,0.14974722457157563,0.2029677927494049,0.2029677927494049,0,100.0,0.025277542842436218,1,-500.0,-600.0,1,100.0,0,0,0,0.14974722457157563
-598.124397,210,935.882502,0.15067590723421975,0.14761741692023805,1.1622263193130493,1.1622263193130493,0,100.0,0.23825830797619407,1,-500.0,-600.0,1,100.0,0,0,0,0.14761741692023805
